,0,1,2,3,4
2012-11-23,3545 敦泰 (半導體),2409 友達 (太陽能產業),1905 華紙 (造紙),2891 中信金 (金融),2458 義隆 (半導體)
2012-11-26,4958 臻鼎-KY (印刷電路板),3105 穩懋 (半導體),2458 義隆 (半導體),2885 元大金 (金融),2884 玉山金 (金融)
2012-11-27,2883 凱基金 (金融),4958 臻鼎-KY (印刷電路板),3105 穩懋 (半導體),2885 元大金 (金融),6153 嘉聯益 (印刷電路板)
2012-11-28,6239 力成 (半導體),6153 嘉聯益 (印刷電路板),2455 全新 (半導體),2883 凱基金 (金融),2885 元大金 (金融)
2012-11-29,2883 凱基金 (金融),1303 南亞 (印刷電路板),2885 元大金 (金融),2823 中壽 (金融),6153 嘉聯益 (印刷電路板)
2012-11-30,3022 威強電 (電腦及週邊設備),2498 宏達電 (人工智慧),2331 精英 (電腦及週邊設備),2439 美律 (能源元件),3227 原相 (人工智慧)
2012-12-03,2347 聯強 (半導體),2812 台中銀 (金融),3673 TPK-KY (觸控面板),3189 景碩 (半導體),2881 富邦金 (金融)
2012-12-04,2409 友達 (太陽能產業),3673 TPK-KY (觸控面板),2347 聯強 (半導體),2514 龍邦 (休閒娛樂),5483 中美晶 (半導體)
2012-12-05,2458 義隆 (半導體),2449 京元電子 (半導體),2337 旺宏 (半導體),2347 聯強 (半導體),2514 龍邦 (休閒娛樂)
2012-12-06,2449 京元電子 (半導體),3293 鈊象 (休閒娛樂),2303 聯電 (半導體),5871 中租-KY (太陽能產業),6147 頎邦 (半導體)
2012-12-07,1101 台泥 (水泥),3673 TPK-KY (觸控面板),4743 合一 (製藥),1102 亞泥 (水泥),3176 基亞 (製藥)
2012-12-10,1101 台泥 (水泥),3481 群創 (平面顯示器),4933 友輝 (平面顯示器),4743 合一 (製藥),1102 亞泥 (水泥)
2012-12-11,2449 京元電子 (半導體),2303 聯電 (半導體),1101 台泥 (水泥),6257 矽格 (半導體),5871 中租-KY (太陽能產業)
2012-12-12,4105 東洋 (製藥),4128 中天 (製藥),2890 永豐金 (金融),2548 華固 (建材營造),2883 凱基金 (金融)
2012-12-13,2409 友達 (太陽能產業),2883 凱基金 (金融),2357 華碩 (人工智慧),1789 神隆 (製藥),4105 東洋 (製藥)
2012-12-14,3576 聯合再生 (太陽能產業),2409 友達 (太陽能產業),1312 國喬 (石化及塑橡膠),2890 永豐金 (金融),4105 東洋 (製藥)
2012-12-17,2547 日勝生 (建材營造),1227 佳格 (食品),4128 中天 (製藥),9945 潤泰新 (建材營造),9933 中鼎 (建材營造)
2012-12-18,8081 致新 (半導體),1789 神隆 (製藥),1444 力麗 (紡織),5347 世界 (半導體),4105 東洋 (製藥)
2012-12-19,3450 聯鈞 (半導體),2352 佳世達 (人工智慧),5347 世界 (半導體),1789 神隆 (製藥),1504 東元 (人工智慧)
2012-12-20,2201 裕隆 (汽車),2409 友達 (太陽能產業),4130 健亞 (製藥),4105 東洋 (製藥),1504 東元 (人工智慧)
2012-12-21,6271 同欣電 (LED照明產業),3704 合勤控 (資通訊安全),3491 昇達科 (太空衛星科技),1720 生達 (製藥),3023 信邦 (LED照明產業)
2012-12-22,3491 昇達科 (太空衛星科技),2439 美律 (能源元件),4162 智擎 (製藥),3504 揚明光 (平面顯示器),
